City,date,PM2.5,PM10,NO2,SO2
Ponda,2015-12-04,16.0,46.0,9.0,4.0
Ponda,2015-12-08,17.0,57.0,9.0,4.0
Ponda,2015-12-11,22.0,62.0,10.0,5.0
Ponda,2015-12-15,13.0,35.0,9.0,4.0
Ponda,2015-12-18,16.0,49.0,9.0,4.0
Ponda,2015-12-22,18.0,59.0,9.0,4.0
Ponda,2015-12-24,17.0,55.0,9.0,4.0
Ponda,2015-12-29,21.0,53.0,9.0,4.0
Sanguem,2015-01-02,25.0,68.0,9.0,4.0
Sanguem,2015-01-07,22.0,57.0,9.0,4.0
Sanguem,2015-01-09,19.0,54.0,9.0,4.0
Sanguem,2015-01-13,23.0,75.0,9.0,4.0
Sanguem,2015-01-15,20.0,70.0,11.0,5.0
Sanguem,2015-01-21,18.0,51.0,9.0,4.0
Sanguem,2015-01-23,17.0,57.0,9.0,3.0
Sanguem,2015-01-27,23.0,71.0,10.0,4.0
Sanguem,2015-01-29,27.0,70.0,9.0,4.0
Sanguem,2015-02-03,27.0,68.0,9.0,4.0
Sanguem,2015-02-05,22.0,62.0,9.0,4.0
Sanguem,2015-02-10,25.0,69.0,9.0,4.0
Sanguem,2015-02-12,24.0,73.0,9.0,4.0
Sanguem,2015-02-17,23.0,75.0,9.0,4.0
Sanguem,2015-02-19,28.0,79.0,9.0,4.0
Sanguem,2015-02-24,17.0,52.0,9.0,4.0
Sanguem,2015-02-26,19.0,57.0,9.0,5.0
Sanguem,2015-03-04,28.0,71.0,9.0,4.0
Sanguem,2015-03-07,22.0,64.0,9.0,4.0
Sanguem,2015-03-10,25.0,67.0,9.0,4.0
Sanguem,2015-03-12,16.0,61.0,11.0,4.0
Sanguem,2015-03-17,17.0,68.0,10.0,5.0
Sanguem,2015-03-19,15.0,48.0,9.0,4.0
Sanguem,2015-03-26,22.0,78.0,8.0,4.0
Sanguem,2015-03-28,23.0,77.0,7.0,3.0
Sanguem,2015-04-01,21.0,62.0,9.0,4.0
Sanguem,2015-04-03,19.0,55.0,9.0,4.0
Sanguem,2015-04-07,14.0,38.0,9.0,4.0
Sanguem,2015-04-09,15.0,53.0,9.0,4.0
Sanguem,2015-04-14,24.0,87.0,9.0,5.0
Sanguem,2015-04-16,26.0,74.0,9.0,4.0
Sanguem,2015-04-21,20.0,64.0,9.0,4.0
Sanguem,2015-04-23,17.0,53.0,11.0,5.0
Sanguem,2015-04-30,12.0,33.0,9.0,4.0
Sanguem,2015-05-02,11.0,36.0,8.0,4.0
Sanguem,2015-05-05,19.0,48.0,9.0,4.0
Sanguem,2015-05-07,12.0,39.0,9.0,4.0
Sanguem,2015-05-12,16.0,51.0,7.0,3.0
Sanguem,2015-05-14,20.0,71.0,10.0,5.0
Sanguem,2015-05-19,10.0,34.0,8.0,3.0
Sanguem,2015-05-21,10.0,34.0,10.0,4.0
Sanguem,2015-05-26,17.0,58.0,9.0,4.0
Sanguem,2015-05-28,16.0,41.0,9.0,4.0
Sanguem,2015-06-02,11.0,34.0,9.0,4.0
Sanguem,2015-06-04,27.0,74.0,9.0,4.0
Sanguem,2015-06-09,14.0,43.0,9.0,4.0
Sanguem,2015-06-11,12.0,42.0,8.0,4.0
Sanguem,2015-06-16,9.0,35.0,8.0,4.0
Sanguem,2015-06-18,19.0,49.0,8.0,3.0
Sanguem,2015-06-23,10.0,34.0,6.0,3.0
Sanguem,2015-06-25,13.0,38.0,9.0,4.0
Sanguem,2015-07-01,13.0,36.0,6.0,3.0
Sanguem,2015-07-03,14.0,37.0,8.0,4.0
Sanguem,2015-07-07,12.0,34.0,7.0,3.0
Sanguem,2015-07-09,9.0,31.0,5.0,2.0
Sanguem,2015-07-14,15.0,39.0,8.0,4.0
Sanguem,2015-07-16,10.0,30.0,8.0,3.0
Sanguem,2015-07-21,14.0,38.0,8.0,4.0
Sanguem,2015-07-23,12.0,33.0,6.0,3.0
Sanguem,2015-07-28,14.0,36.0,8.0,4.0
Sanguem,2015-07-30,9.0,30.0,7.0,3.0
Sanguem,2015-08-05,10.0,31.0,7.0,3.0
Sanguem,2015-08-07,13.0,32.0,9.0,4.0
Sanguem,2015-08-12,10.0,31.0,6.0,3.0
Sanguem,2015-08-14,12.0,32.0,6.0,3.0
Sanguem,2015-08-19,9.0,31.0,9.0,3.0
Sanguem,2015-08-21,11.0,32.0,8.0,3.0
Sanguem,2015-08-25,14.0,36.0,9.0,4.0
Sanguem,2015-08-27,16.0,46.0,9.0,4.0
Sanguem,2015-09-01,12.0,31.0,9.0,4.0
Sanguem,2015-09-04,9.0,31.0,8.0,4.0
Sanguem,2015-09-08,12.0,32.0,9.0,4.0
Sanguem,2015-09-11,13.0,32.0,9.0,4.0
Sanguem,2015-09-15,10.0,31.0,8.0,3.0
Sanguem,2015-09-19,11.0,31.0,7.0,3.0
Sanguem,2015-09-22,13.0,33.0,9.0,4.0
Sanguem,2015-09-25,11.0,32.0,8.0,3.0
Sanguem,2015-10-03,10.0,34.0,9.0,4.0
Sanguem,2015-10-06,11.0,32.0,8.0,4.0
Sanguem,2015-10-09,10.0,30.0,9.0,3.0
Sanguem,2015-10-13,12.0,33.0,9.0,4.0
Sanguem,2015-10-16,14.0,35.0,9.0,4.0
Sanguem,2015-10-20,11.0,31.0,8.0,3.0
Sanguem,2015-10-23,10.0,31.0,8.0,4.0
Sanguem,2015-10-27,12.0,32.0,9.0,4.0
Sanguem,2015-10-30,13.0,36.0,9.0,4.0
Sanguem,2015-11-03,16.0,49.0,9.0,4.0
Sanguem,2015-11-07,14.0,41.0,9.0,4.0
Sanguem,2015-11-10,11.0,33.0,8.0,4.0
Sanguem,2015-11-13,13.0,34.0,9.0,4.0
Sanguem,2015-11-17,10.0,30.0,8.0,3.0
Sanguem,2015-11-20,10.0,33.0,9.0,4.0
Sanguem,2015-11-24,18.0,48.0,9.0,4.0
Sanguem,2015-11-27,13.0,34.0,9.0,4.0
Sanguem,2015-12-01,21.0,60.0,9.0,4.0
Sanguem,2015-12-04,17.0,52.0,9.0,4.0
Sanguem,2015-12-08,12.0,38.0,9.0,4.0
Sanguem,2015-12-11,17.0,54.0,9.0,4.0
Sanguem,2015-12-15,20.0,60.0,9.0,5.0
Sanguem,2015-12-18,18.0,58.0,9.0,4.0
Sanguem,2015-12-22,16.0,41.0,9.0,4.0
Sanguem,2015-12-24,11.0,33.0,9.0,4.0
Sanguem,2015-12-29,19.0,62.0,10.0,4.0
Tilamol,2015-01-02,29.0,77.0,9.0,15.0
Tilamol,2015-01-07,24.0,66.0,9.0,4.0
Tilamol,2015-01-09,18.0,59.0,9.0,4.0
Tilamol,2015-01-13,21.0,76.0,9.0,4.0
Tilamol,2015-01-15,27.0,78.0,10.0,4.0
Tilamol,2015-01-21,25.0,71.0,9.0,4.0
Tilamol,2015-01-23,25.0,78.0,12.0,5.0
Tilamol,2015-01-27,23.0,73.0,9.0,3.0
Tilamol,2015-01-29,23.0,67.0,9.0,4.0
Tilamol,2015-02-03,27.0,72.0,9.0,4.0
Tilamol,2015-02-05,25.0,70.0,10.0,4.0
Tilamol,2015-02-10,23.0,65.0,9.0,4.0
Tilamol,2015-02-12,23.0,73.0,9.0,3.0
Tilamol,2015-02-17,27.0,72.0,9.0,5.0
Tilamol,2015-02-19,27.0,79.0,10.0,5.0
Tilamol,2015-02-24,21.0,66.0,11.0,5.0
Tilamol,2015-02-26,18.0,63.0,9.0,4.0
Tilamol,2015-03-04,29.0,73.0,9.0,4.0
Tilamol,2015-03-07,21.0,57.0,9.0,4.0
Tilamol,2015-03-10,14.0,47.0,9.0,4.0
Tilamol,2015-03-12,21.0,62.0,9.0,4.0
Tilamol,2015-03-17,16.0,59.0,9.0,4.0
Tilamol,2015-03-19,21.0,53.0,9.0,4.0
Tilamol,2015-03-26,26.0,76.0,10.0,4.0
Tilamol,2015-03-28,20.0,68.0,9.0,4.0
Tilamol,2015-04-01,21.0,59.0,9.0,4.0
Tilamol,2015-04-03,19.0,52.0,9.0,4.0
Tilamol,2015-04-07,12.0,31.0,9.0,4.0
Tilamol,2015-04-09,22.0,79.0,7.0,3.0
Tilamol,2015-04-14,30.0,84.0,8.0,5.0
Tilamol,2015-04-16,28.0,81.0,10.0,4.0
Tilamol,2015-04-21,26.0,87.0,9.0,4.0
Tilamol,2015-04-23,21.0,66.0,12.0,5.0
Tilamol,2015-04-30,20.0,59.0,9.0,4.0
Tilamol,2015-05-02,16.0,51.0,9.0,4.0
Tilamol,2015-05-05,12.0,39.0,9.0,4.0
Tilamol,2015-05-07,21.0,57.0,10.0,4.0
Tilamol,2015-05-12,16.0,63.0,10.0,5.0
Tilamol,2015-05-14,13.0,49.0,11.0,5.0
Tilamol,2015-05-19,22.0,60.0,9.0,4.0
Tilamol,2015-05-21,17.0,73.0,9.0,4.0
Tilamol,2015-05-26,13.0,57.0,11.0,4.0
Tilamol,2015-05-28,14.0,47.0,9.0,4.0
Tilamol,2015-06-02,21.0,58.0,9.0,4.0
Tilamol,2015-06-04,18.0,53.0,9.0,4.0
Tilamol,2015-06-09,18.0,53.0,9.0,4.0
Tilamol,2015-06-11,10.0,44.0,5.0,2.0
Tilamol,2015-06-16,10.0,38.0,8.0,4.0
Tilamol,2015-06-18,12.0,33.0,8.0,3.0
Tilamol,2015-06-23,12.0,47.0,9.0,4.0
Tilamol,2015-06-25,17.0,48.0,9.0,4.0
Tilamol,2015-07-01,16.0,45.0,9.0,4.0
Tilamol,2015-07-03,17.0,47.0,9.0,4.0
Tilamol,2015-07-07,12.0,32.0,7.0,3.0
Tilamol,2015-07-09,12.0,30.0,5.0,2.0
Tilamol,2015-07-14,10.0,32.0,5.0,3.0
Tilamol,2015-07-16,15.0,31.0,7.0,4.0
Tilamol,2015-07-21,16.0,45.0,8.0,4.0
Tilamol,2015-07-23,11.0,34.0,7.0,3.0
Tilamol,2015-07-28,16.0,46.0,8.0,4.0
Tilamol,2015-07-30,17.0,46.0,8.0,3.0
Tilamol,2015-08-05,12.0,32.0,8.0,3.0
Tilamol,2015-08-07,12.0,39.0,6.0,3.0
Tilamol,2015-08-12,10.0,31.0,5.0,2.0
Tilamol,2015-08-14,16.0,44.0,7.0,4.0
Tilamol,2015-08-19,11.0,33.0,7.0,3.0
Tilamol,2015-08-21,15.0,46.0,7.0,4.0
Tilamol,2015-08-25,13.0,38.0,8.0,4.0
Tilamol,2015-08-27,12.0,33.0,8.0,3.0
Tilamol,2015-09-01,15.0,49.0,9.0,4.0
Tilamol,2015-09-04,20.0,66.0,10.0,4.0
Tilamol,2015-09-08,12.0,33.0,9.0,4.0
Tilamol,2015-09-11,10.0,31.0,9.0,4.0
Tilamol,2015-09-15,16.0,44.0,8.0,3.0
Tilamol,2015-09-19,12.0,39.0,9.0,4.0
Tilamol,2015-09-22,12.0,33.0,8.0,4.0
Tilamol,2015-09-25,13.0,42.0,9.0,4.0
Tilamol,2015-10-03,16.0,47.0,10.0,4.0
Tilamol,2015-10-06,14.0,37.0,9.0,4.0
Tilamol,2015-10-09,10.0,33.0,9.0,4.0
Tilamol,2015-10-13,11.0,34.0,9.0,4.0
Tilamol,2015-10-16,17.0,47.0,9.0,4.0
Tilamol,2015-10-20,11.0,36.0,8.0,4.0
Tilamol,2015-10-23,15.0,40.0,9.0,4.0
Tilamol,2015-10-27,15.0,41.0,9.0,4.0
Tilamol,2015-10-30,21.0,55.0,10.0,4.0
Tilamol,2015-11-03,21.0,68.0,9.0,4.0
Tilamol,2015-11-07,15.0,48.0,9.0,4.0
Tilamol,2015-11-10,10.0,32.0,9.0,4.0
Tilamol,2015-11-13,18.0,49.0,9.0,4.0
Tilamol,2015-11-17,22.0,71.0,9.0,4.0
Tilamol,2015-11-20,19.0,59.0,9.0,4.0
Tilamol,2015-11-24,29.0,78.0,10.0,4.0
Tilamol,2015-11-27,18.0,52.0,9.0,4.0
Tilamol,2015-12-01,17.0,56.0,9.0,4.0
Tilamol,2015-12-04,19.0,63.0,9.0,4.0
Tilamol,2015-12-08,16.0,53.0,9.0,4.0
Tilamol,2015-12-11,21.0,65.0,9.0,4.0
Tilamol,2015-12-15,24.0,78.0,10.0,4.0
Tilamol,2015-12-18,22.0,76.0,10.0,4.0
Tilamol,2015-12-22,21.0,68.0,9.0,4.0
Tilamol,2015-12-24,16.0,50.0,9.0,4.0
Tilamol,2015-12-29,19.0,59.0,9.0,4.0
Kundaim,2015-01-03,33.0,84.0,81.0,4.0
Kundaim,2015-01-08,26.0,70.0,9.0,4.0
Kundaim,2015-01-10,24.0,69.0,9.0,4.0
Kundaim,2015-01-14,33.0,85.0,9.0,5.0
Kundaim,2015-01-16,32.0,89.0,9.0,5.0
Kundaim,2015-01-20,24.0,62.0,9.0,4.0
Kundaim,2015-01-22,23.0,61.0,9.0,4.0
Kundaim,2015-01-28,23.0,60.0,9.0,4.0
Kundaim,2015-01-30,27.0,76.0,9.0,4.0
Kundaim,2015-02-04,31.0,88.0,9.0,4.0
Kundaim,2015-02-06,32.0,88.0,9.0,4.0
Kundaim,2015-02-11,23.0,77.0,9.0,4.0
Kundaim,2015-02-13,26.0,85.0,9.0,4.0
Kundaim,2015-02-18,32.0,92.0,10.0,4.0
Kundaim,2015-02-20,36.0,93.0,9.0,4.0
Kundaim,2015-02-25,25.0,79.0,9.0,4.0
Kundaim,2015-02-27,24.0,78.0,9.0,4.0
Kundaim,2015-03-04,23.0,75.0,9.0,4.0
Kundaim,2015-03-07,25.0,80.0,10.0,5.0
Kundaim,2015-03-11,23.0,78.0,9.0,4.0
Kundaim,2015-03-13,21.0,69.0,9.0,4.0
Kundaim,2015-03-18,32.0,95.0,8.0,4.0
Kundaim,2015-03-20,21.0,68.0,9.0,4.0
Kundaim,2015-03-25,31.0,79.0,9.0,4.0
Kundaim,2015-03-27,25.0,77.0,9.0,4.0
Kundaim,2015-04-01,17.0,54.0,9.0,4.0
Kundaim,2015-04-03,16.0,52.0,8.0,4.0
Kundaim,2015-04-08,19.0,61.0,9.0,4.0
Kundaim,2015-04-10,19.0,64.0,9.0,4.0
Kundaim,2015-04-15,25.0,85.0,10.0,4.0
Kundaim,2015-04-17,24.0,79.0,9.0,4.0
Kundaim,2015-04-22,30.0,83.0,10.0,5.0
Kundaim,2015-04-24,29.0,81.0,9.0,5.0
Kundaim,2015-04-29,20.0,68.0,11.0,5.0
Kundaim,2015-05-02,22.0,59.0,9.0,4.0
Kundaim,2015-05-06,20.0,59.0,9.0,4.0
Kundaim,2015-05-08,26.0,68.0,10.0,5.0
Kundaim,2015-05-13,24.0,72.0,10.0,4.0
Kundaim,2015-05-15,18.0,69.0,10.0,4.0
Kundaim,2015-05-20,23.0,60.0,9.0,4.0
Kundaim,2015-05-22,15.0,49.0,8.0,4.0
Kundaim,2015-05-27,18.0,58.0,9.0,4.0
Kundaim,2015-05-29,22.0,68.0,7.0,3.0
Kundaim,2015-06-03,18.0,60.0,9.0,4.0
Kundaim,2015-06-05,11.0,38.0,8.0,4.0
Kundaim,2015-06-10,21.0,69.0,9.0,4.0
Kundaim,2015-06-12,14.0,45.0,9.0,4.0
Kundaim,2015-06-17,23.0,93.0,8.0,4.0
Kundaim,2015-06-19,9.0,30.0,6.0,3.0
Kundaim,2015-06-24,13.0,43.0,9.0,4.0
Kundaim,2015-06-26,11.0,37.0,8.0,4.0
Kundaim,2015-07-01,12.0,40.0,5.0,2.0
Kundaim,2015-07-03,21.0,57.0,8.0,4.0
Kundaim,2015-07-08,10.0,32.0,7.0,3.0
Kundaim,2015-07-10,14.0,45.0,9.0,4.0
Kundaim,2015-07-15,13.0,42.0,8.0,4.0
Kundaim,2015-07-17,19.0,56.0,8.0,3.0
Kundaim,2015-07-22,15.0,45.0,6.0,3.0
Kundaim,2015-07-24,19.0,59.0,8.0,4.0
Kundaim,2015-07-31,20.0,54.0,9.0,4.0
Kundaim,2015-07-31,16.0,45.0,7.0,4.0
Kundaim,2015-08-06,13.0,35.0,6.0,3.0
Kundaim,2015-08-08,17.0,44.0,8.0,4.0
Kundaim,2015-08-11,19.0,51.0,6.0,3.0
Kundaim,2015-08-13,10.0,31.0,9.0,4.0
Kundaim,2015-08-20,9.0,31.0,7.0,3.0
Kundaim,2015-08-22,21.0,56.0,8.0,4.0
Kundaim,2015-08-26,14.0,40.0,7.0,3.0
Kundaim,2015-08-28,13.0,39.0,8.0,3.0
Kundaim,2015-09-02,15.0,51.0,9.0,4.0
Kundaim,2015-09-05,10.0,32.0,9.0,4.0
Kundaim,2015-09-09,19.0,62.0,11.0,5.0
Kundaim,2015-09-12,19.0,61.0,9.0,4.0
Kundaim,2015-09-15,17.0,56.0,8.0,3.0
Kundaim,2015-09-19,18.0,60.0,9.0,4.0
Kundaim,2015-09-23,13.0,42.0,9.0,4.0
Kundaim,2015-09-26,25.0,63.0,10.0,4.0
Kundaim,2015-10-03,15.0,50.0,9.0,4.0
Kundaim,2015-10-07,12.0,36.0,9.0,4.0
Kundaim,2015-10-10,18.0,61.0,10.0,4.0
Kundaim,2015-10-14,11.0,32.0,9.0,4.0
Kundaim,2015-10-17,13.0,35.0,9.0,4.0
Kundaim,2015-10-21,14.0,39.0,9.0,4.0
Kundaim,2015-10-24,19.0,55.0,9.0,4.0
Kundaim,2015-10-28,24.0,64.0,10.0,4.0
Kundaim,2015-10-31,24.0,65.0,9.0,4.0
Kundaim,2015-11-04,29.0,73.0,10.0,4.0
Kundaim,2015-11-07,19.0,60.0,9.0,4.0
Kundaim,2015-11-11,11.0,34.0,9.0,4.0
Kundaim,2015-11-14,10.0,31.0,9.0,4.0
Kundaim,2015-11-18,22.0,68.0,9.0,4.0
Kundaim,2015-11-21,24.0,69.0,9.0,4.0
Kundaim,2015-11-25,25.0,64.0,9.0,4.0
Kundaim,2015-11-28,16.0,45.0,9.0,4.0
Kundaim,2015-12-02,20.0,54.0,9.0,4.0
Kundaim,2015-12-05,14.0,47.0,9.0,4.0
Kundaim,2015-12-09,18.0,55.0,10.0,4.0
Kundaim,2015-12-12,29.0,74.0,10.0,5.0
Kundaim,2015-12-16,22.0,66.0,9.0,4.0
Kundaim,2015-12-19,20.0,59.0,9.0,4.0
Kundaim,2015-12-23,22.0,70.0,10.0,5.0
Kundaim,2015-12-26,19.0,64.0,9.0,4.0
Kundaim,2015-12-30,18.0,58.0,9.0,4.0
Cuncolim,2015-01-02,13.0,44.0,8.0,4.0
Cuncolim,2015-01-07,41.0,93.0,9.0,4.0
Cuncolim,2015-01-09,41.0,86.0,9.0,4.0
Cuncolim,2015-01-13,29.0,78.0,10.0,3.0
Cuncolim,2015-01-15,44.0,95.0,11.0,5.0
Cuncolim,2015-01-21,25.0,60.0,9.0,4.0
Cuncolim,2015-01-23,40.0,91.0,9.0,5.0
Cuncolim,2015-01-27,37.0,98.0,10.0,5.0
Cuncolim,2015-01-29,39.0,97.0,10.0,4.0
Cuncolim,2015-02-03,34.0,87.0,8.0,4.0
Cuncolim,2015-02-05,24.0,62.0,9.0,4.0
Cuncolim,2015-02-10,33.0,75.0,9.0,4.0
Cuncolim,2015-02-12,41.0,94.0,10.0,4.0
Cuncolim,2015-02-17,36.0,87.0,9.0,4.0
Cuncolim,2015-02-19,38.0,82.0,9.0,4.0
Cuncolim,2015-02-24,39.0,83.0,10.0,4.0
Cuncolim,2015-02-26,12.0,52.0,10.0,5.0
Cuncolim,2015-03-04,36.0,79.0,9.0,5.0
Cuncolim,2015-03-07,22.0,58.0,9.0,4.0
Cuncolim,2015-03-10,41.0,87.0,10.0,5.0
Cuncolim,2015-03-12,25.0,68.0,9.0,4.0
Cuncolim,2015-03-17,31.0,79.0,9.0,5.0
Cuncolim,2015-03-19,34.0,74.0,9.0,4.0
Cuncolim,2015-03-26,39.0,87.0,9.0,5.0
Cuncolim,2015-03-28,35.0,80.0,9.0,3.0
Cuncolim,2015-04-01,18.0,52.0,9.0,4.0
Cuncolim,2015-04-03,31.0,63.0,9.0,4.0
Cuncolim,2015-04-07,34.0,82.0,9.0,5.0
Cuncolim,2015-04-09,31.0,74.0,9.0,5.0
Cuncolim,2015-04-14,37.0,84.0,10.0,5.0
Cuncolim,2015-04-16,30.0,71.0,9.0,4.0
Cuncolim,2015-04-21,36.0,78.0,9.0,4.0
Cuncolim,2015-04-23,11.0,36.0,9.0,3.0
Cuncolim,2015-04-30,37.0,79.0,9.0,3.0
Cuncolim,2015-05-02,36.0,79.0,9.0,4.0
Cuncolim,2015-05-05,31.0,74.0,9.0,4.0
Cuncolim,2015-05-07,10.0,34.0,9.0,4.0
Cuncolim,2015-05-12,20.0,53.0,9.0,4.0
Cuncolim,2015-05-14,30.0,64.0,9.0,5.0
Cuncolim,2015-05-19,25.0,60.0,9.0,4.0
Cuncolim,2015-05-21,18.0,43.0,9.0,4.0
Cuncolim,2015-05-26,13.0,38.0,8.0,3.0
Cuncolim,2015-05-28,25.0,81.0,9.0,5.0
Cuncolim,2015-06-02,21.0,47.0,10.0,5.0
Cuncolim,2015-06-04,10.0,31.0,7.0,3.0
Cuncolim,2015-06-09,10.0,30.0,8.0,3.0
Cuncolim,2015-06-11,25.0,69.0,7.0,3.0
Cuncolim,2015-06-16,13.0,42.0,9.0,4.0
Cuncolim,2015-06-18,11.0,36.0,8.0,4.0
Cuncolim,2015-06-23,20.0,53.0,7.0,3.0
Cuncolim,2015-06-25,16.0,52.0,9.0,5.0
Cuncolim,2015-07-01,19.0,47.0,8.0,4.0
Cuncolim,2015-07-03,20.0,53.0,9.0,4.0
Cuncolim,2015-07-07,21.0,53.0,8.0,4.0
Cuncolim,2015-07-09,23.0,58.0,8.0,3.0
Cuncolim,2015-07-14,18.0,43.0,7.0,3.0
Cuncolim,2015-07-16,22.0,54.0,8.0,3.0
Cuncolim,2015-07-21,11.0,31.0,7.0,3.0
Cuncolim,2015-07-23,13.0,31.0,5.0,2.0
Cuncolim,2015-07-28,20.0,46.0,7.0,3.0
Cuncolim,2015-07-30,16.0,42.0,7.0,3.0
Cuncolim,2015-08-05,14.0,38.0,7.0,3.0
Cuncolim,2015-08-07,23.0,57.0,8.0,4.0
Cuncolim,2015-08-12,17.0,44.0,8.0,4.0
Cuncolim,2015-08-14,13.0,36.0,8.0,4.0
Cuncolim,2015-08-19,19.0,44.0,8.0,4.0
Cuncolim,2015-08-21,13.0,37.0,7.0,3.0
Cuncolim,2015-08-26,13.0,39.0,7.0,3.0
Cuncolim,2015-08-29,17.0,40.0,8.0,3.0
Cuncolim,2015-09-01,13.0,36.0,7.0,3.0
Cuncolim,2015-09-04,18.0,48.0,8.0,3.0
Cuncolim,2015-09-08,17.0,43.0,8.0,4.0
Cuncolim,2015-09-11,13.0,37.0,7.0,3.0
Cuncolim,2015-09-15,19.0,48.0,8.0,3.0
Cuncolim,2015-09-19,14.0,35.0,7.0,3.0
Cuncolim,2015-09-22,14.0,44.0,8.0,3.0
Cuncolim,2015-09-25,19.0,53.0,8.0,4.0
Cuncolim,2015-10-03,12.0,38.0,9.0,4.0
Cuncolim,2015-10-06,17.0,47.0,9.0,4.0
Cuncolim,2015-10-09,13.0,31.0,9.0,4.0
Cuncolim,2015-10-13,15.0,41.0,9.0,4.0
Cuncolim,2015-10-16,10.0,30.0,8.0,4.0
Cuncolim,2015-10-20,11.0,31.0,9.0,4.0
Cuncolim,2015-10-23,16.0,44.0,9.0,4.0
Cuncolim,2015-10-27,19.0,55.0,9.0,5.0
Cuncolim,2015-10-30,11.0,30.0,9.0,4.0
Cuncolim,2015-11-03,11.0,34.0,9.0,4.0
Cuncolim,2015-11-07,16.0,44.0,9.0,4.0
Cuncolim,2015-11-10,13.0,39.0,9.0,4.0
Cuncolim,2015-11-13,12.0,35.0,9.0,4.0
Cuncolim,2015-11-17,17.0,48.0,9.0,4.0
Cuncolim,2015-11-20,10.0,30.0,9.0,4.0
Cuncolim,2015-11-24,12.0,31.0,9.0,4.0
Cuncolim,2015-11-27,16.0,49.0,9.0,4.0
Cuncolim,2015-12-01,11.0,30.0,9.0,3.0
Cuncolim,2015-12-04,13.0,37.0,9.0,4.0
Cuncolim,2015-12-08,12.0,35.0,9.0,4.0
Cuncolim,2015-12-11,26.0,74.0,10.0,4.0
Cuncolim,2015-12-15,11.0,30.0,8.0,4.0
Cuncolim,2015-12-18,14.0,47.0,9.0,4.0
Cuncolim,2015-12-22,10.0,34.0,9.0,4.0
Cuncolim,2015-12-24,23.0,65.0,10.0,4.0
Cuncolim,2015-12-29,19.0,53.0,9.0,4.0
Ahmedabad,2014-06-01,22.0,90.66666667,12.98333333,11.28333333
Ahmedabad,2014-09-01,24.0,74.66666667,15.83333333,13.11666667
Ahmedabad,2014-01-13,20.0,87.33333333,18.11666667,13.9
Ahmedabad,2014-01-16,19.0,56.66666667,15.88333333,16.13333333
Ahmedabad,2014-01-20,25.0,77.66666667,14.96666667,14.61666667
Ahmedabad,2014-01-23,21.0,87.33333333,15.28333333,19.4
Ahmedabad,2014-01-27,28.0,72.33333333,16.28333333,15.7
Ahmedabad,2014-01-30,26.0,92.66666667,17.71666667,18.1
Ahmedabad,2014-03-02,21.0,74.66666667,16.91666667,14.9
Ahmedabad,2014-06-02,23.0,78.66666667,17.05,15.25
Ahmedabad,2014-10-02,24.0,87.0,20.63333333,13.45
Ahmedabad,2014-02-13,27.0,86.66666667,19.13333333,14.63333333
Ahmedabad,2014-02-17,21.0,70.33333333,20.65,14.65
Ahmedabad,2014-02-20,19.0,75.0,21.73333333,15.28333333
Ahmedabad,2014-02-24,21.0,76.66666667,18.1,14.55
Ahmedabad,2014-02-27,20.0,67.66666667,18.31666667,13.53333333
Ahmedabad,2014-03-03,23.0,83.66666667,21.15,15.966666670000002
Ahmedabad,2014-06-03,29.0,75.66666667,21.35,15.83333333
Ahmedabad,2014-10-03,25.0,81.33333333,21.95,15.53333333
Ahmedabad,2014-03-13,32.0,93.0,20.13333333,18.85
Ahmedabad,2014-03-17,27.0,72.0,19.5,26.31666667
Ahmedabad,2014-03-20,30.0,83.0,14.56666667,25.15
Ahmedabad,2014-03-24,33.0,83.66666667,14.1,21.7
Ahmedabad,2014-03-27,31.0,92.66666667,15.05,20.983333329999997
Ahmedabad,2014-03-31,31.0,91.66666667,19.3,15.28333333
Ahmedabad,2014-03-04,33.0,95.66666667,20.31666667,15.566666670000002
Ahmedabad,2014-07-04,34.0,95.0,19.35,15.366666670000004
Ahmedabad,2014-10-04,32.0,90.33333333,20.58333333,16.883333329999996
Ahmedabad,2014-04-14,34.0,94.33333333,22.2,17.433333329999996
Ahmedabad,2014-04-17,29.0,83.0,20.7,17.0
Ahmedabad,2014-04-21,30.0,88.33333333,20.0,16.25
Ahmedabad,2014-04-24,38.0,105.6666667,21.58333333,18.81666667
Ahmedabad,2014-04-28,34.0,94.66666667,20.4,16.366666669999997
Ahmedabad,2014-01-05,26.0,73.33333333,18.86666667,15.01666667
Ahmedabad,2014-05-05,42.0,106.6666667,21.2,15.11666667
Ahmedabad,2014-08-05,38.0,102.3333333,23.83333333,15.51666667
Ahmedabad,2014-12-05,35.0,98.66666667,20.71666667,14.316666670000002
Ahmedabad,2014-05-15,39.0,87.33333333,22.9,15.98333333
Ahmedabad,2014-05-19,41.0,111.3333333,23.06666667,15.25
Ahmedabad,2014-05-22,32.0,96.0,24.33333333,17.066666669999996
Ahmedabad,2014-05-26,40.0,98.66666667,22.85,16.183333329999996
Ahmedabad,2014-05-29,37.0,86.0,21.81666667,14.816666670000002
Ahmedabad,2014-02-06,32.0,99.0,22.25,14.866666670000004
Ahmedabad,2014-05-06,30.0,105.6666667,23.95,15.71666667
Ahmedabad,2014-09-06,41.0,104.6666667,24.93333333,16.4
Ahmedabad,2014-12-06,29.0,102.3333333,23.6,15.76666667
Ahmedabad,2014-06-16,25.0,96.33333333,22.81666667,15.21666667
